,decade,artist,song,track id,release date,song length (ms),explicit,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time signature,valence
5,1990-1999,Coolio,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p,1995-10-02,240693,False,86,0.0655,0.647,0.514,0.0,8,0.398,-10.05,1,0.0593,79.975,4,0.386
6,1990-1999,Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r,1993-02-22,238640,True,86,0.0097,0.515,0.43,0.000133,7,0.129,-9.935,1,0.0372,91.844,4,0.104
7,1990-1999,Mykola Dmytrovych Leontovych,Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,1990,85266,False,86,0.994,0.418,0.106,0.0292,8,0.179,-22.507,0,0.0448,46.718,4,0.8
8,1990-1999,Eagles,Please Come Home for Christmas - 2013 Remaster,3QIoEi8Enr9uHffwInGIsC,1994,177440,False,86,0.599,0.612,0.289,0.00266,9,0.0561,-11.568,1,0.0421,183.18,3,0.466
9,1990-1999,R.E.M.,Losing My Religion,31AOj9sFz2gM0O3hMARRBx,1991-03-12,268426,False,85,0.179,0.666,0.855,1.2e-06,9,0.0987,-5.051,0,0.0295,125.639,4,0.803
10,1990-1999,George Michael,Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,1998-11-09,300106,False,85,0.128,0.574,0.629,0.0,2,0.271,-8.815,0,0.0363,153.119,4,0.786
11,1990-1999,AC/DC,Thunderstruck,57bgtoPSgt236HzfBOd8kj,1990-09-24,292880,False,85,0.000147,0.502,0.89,0.0117,4,0.217,-5.175,1,0.0364,133.52,4,0.259
12,1990-1999,The Cranberries,Zombie,7EZC6E7UjZe63f1jRmkWxt,1994-10-03,306440,False,84,0.0158,0.309,0.649,0.00591,7,0.367,-8.994,1,0.035,166.915,4,0.312
13,1990-1999,Dr. Dre,Still D.R.E.,503OTo2dSqe7qk76rgsbep,1999-11-16,270586,True,83,0.16,0.816,0.775,0.00031,11,0.0543,-3.323,1,0.234,93.431,4,0.527
14,1990-1999,Donny Hathaway,This Christmas,38xhBO2AKrJnjdjVnhJES6,1990-04-03,231173,False,83,0.292,0.634,0.645,0.0,5,0.246,-9.2,1,0.0376,93.047,4,0.677
15,1990-1999,Red Hot Chili Peppers,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,1991-09-24,264306,False,83,0.0576,0.559,0.345,0.000105,4,0.141,-13.496,1,0.0459,84.581,4,0.458
16,1990-1999,Spice Girls,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,1996-01-01,173026,False,83,0.101,0.768,0.864,0.0,11,0.162,-6.145,1,0.0324,110.008,4,0.891
17,1990-1999,Red Hot Chili Peppers,Californication,48UPSzbZjgc449aqz8bxox,1999-06-08,329733,False,83,0.0021,0.592,0.767,0.00165,9,0.127,-2.788,0,0.027,96.483,4,0.328
18,1990-1999,blink-182,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,1999-06-01,167066,False,82,0.0103,0.434,0.897,0.0,0,0.612,-4.918,1,0.0488,148.726,4,0.684
19,1990-1999,Green Day,Basket Case,6L89mwZXSOwYl76YXfX13s,1994-02-01,181533,False,82,0.00293,0.442,0.943,8.71e-06,3,0.091,-3.205,1,0.0602,85.064,4,0.781
20,1990-1999,Backstreet Boys,I Want It That Way,47BBI51FKFwOMlIiX6m8ya,1999-05-18,213306,False,82,0.257,0.689,0.694,0.0,6,0.148,-5.83,0,0.027,99.039,4,0.482
21,1990-1999,Guns N' Roses,November Rain,3YRCqOhFifThpSRFJ1VWFM,1991-09-17,536066,False,82,0.0163,0.294,0.641,0.22,11,0.112,-9.316,1,0.0291,79.759,4,0.226
22,1990-1999,Ice Cube,It Was A Good Day,2qOm7ukLyHUXWyR4ZWLwxA,1992-11-17,260000,True,82,0.33,0.798,0.744,0.000106,7,0.292,-5.328,0,0.136,82.356,4,0.794
23,1990-1999,The Verve,Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,1997-09-29,357266,False,82,0.0335,0.356,0.917,0.0,9,0.406,-6.006,1,0.0479,171.176,4,0.518
24,1990-1999,Bing Crosby,Mele Kalikimaka - Single Version,1GQ3cCJMAhLqWARyVZWxnO,1996-11-19,172173,False,82,0.808,0.513,0.156,0.0,3,0.322,-13.668,1,0.0717,207.975,4,0.589
25,1990-1999,Red Hot Chili Peppers,Otherside,64BbK9SFKH2jk86U3dGj2P,1999-06-08,255373,False,81,0.00316,0.458,0.795,0.000202,0,0.0756,-3.265,1,0.0574,123.229,4,0.513
26,1990-1999,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,1999-06-08,200373,False,81,0.0395,0.731,0.867,0.0,11,0.0861,-5.881,1,0.032,104.019,4,0.776
27,1990-1999,Britney Spears,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,1999-01-12,211066,False,81,0.202,0.759,0.699,0.000131,0,0.443,-5.745,0,0.0307,92.96,4,0.907
28,1990-1999,4 Non Blondes,What's Up?,0jWgAnTrNZmOGmqgvHhZEm,1992-01-01,295533,False,81,0.161,0.565,0.564,0.0,2,0.114,-10.044,1,0.0292,134.355,4,0.454
